idx,FLOPS,end_call,end_compute,start_call,start_compute
0,40,9.880589246749878,9.6294584274292,0.0,9.629449367523193
1,80,10.51117753982544,10.048919439315796,0.0,10.048903226852417
2,80,10.19698190689087,10.002344608306885,0.0,10.002328395843506
3,40,10.19698190689087,10.017960786819458,0.0,10.017951965332031
4,40,11.144452571868896,10.69253659248352,0.0,10.692528009414673
5,80,12.722752809524536,12.394006967544556,0.0,12.393993377685547
6,80,11.775149822235107,11.582312822341919,0.0,11.582298278808594
7,40,11.775149822235107,11.309536695480347,0.0,11.309528112411499
8,40,12.09058427810669,11.708752870559692,0.0,11.708743810653687
9,80,13.983872413635254,13.522504091262817,0.0,13.522488594055176
10,80,14.299960851669312,13.989715576171875,0.0,13.989700317382812
11,40,13.353365421295166,12.86229157447815,0.0,12.862281560897827
